transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn
1,2019-04-01,12:04:43,3,12,558,N,1,1,52,1,2.5,2.5,N
2,2019-04-01,15:54:39,3,17,781,N,1,1,27,2,7,3.5,N
3,2019-04-01,14:34:59,3,17,788,Y,1,1,46,2,5,2.5,N
4,2019-04-01,16:06:04,3,12,683,N,1,1,23,2,5,2.5,N
5,2019-04-01,19:18:37,3,17,99,Y,1,1,34,1,2.45,2.45,N
6,2019-04-01,18:54:46,3,17,664,Y,1,1,32,1,3,3,N
7,2019-04-01,13:03:49,3,12,316,N,1,1,49,2,6,3,N
8,2019-04-01,11:21:14,3,12,38,N,1,1,60,1,3.75,3.75,N
9,2019-04-01,19:30:55,3,12,370,Y,1,1,51,2,6,3,N
10,2019-04-01,12:01:00,3,12,180,Y,1,1,49,2,6,3,N
11,2019-04-01,13:20:51,3,12,35,Y,1,1,35,2,6.2,3.1,N
12,2019-04-01,11:40:20,3,17,595,N,1,1,47,1,3,3,N
13,2019-04-01,12:27:43,3,12,500,N,1,1,25,2,4.4,2.2,N
14,2019-04-01,17:37:02,3,17,128,Y,1,1,23,2,5,2.5,N
15,2019-04-01,12:26:34,3,17,599,Y,1,1,48,2,5,2.5,N
16,2019-04-01,14:33:32,3,17,152,Y,1,1,53,2,6,3,N
17,2019-04-01,16:11:18,3,17,65,N,1,1,40,1,3.75,3.75,N
18,2019-04-01,13:03:38,3,12,90,Y,1,1,37,2,6,3,N
19,2019-04-01,18:25:04,3,12,82,Y,1,1,60,1,3.75,3.75,N
20,2019-04-01,15:51:44,3,12,174,N,1,1,53,2,6,3,N
21,2019-04-01,13:58:40,3,12,116,N,1,1,41,2,8.5,4.25,N
22,2019-04-01,11:49:29,3,17,189,Y,1,1,38,2,7.5,3.75,N
23,2019-04-01,17:01:36,3,17,131,Y,1,1,40,1,3.75,3.75,N
24,2019-04-01,11:10:04,3,17,264,Y,1,1,40,1,3.75,3.75,N
25,2019-04-01,13:17:42,3,17,722,Y,1,1,38,1,3.75,3.75,N
26,2019-04-01,14:07:25,3,17,302,Y,1,1,50,1,2.5,2.5,N
27,2019-04-01,13:17:00,3,12,174,Y,1,1,59,2,9,4.5,N
28,2019-04-01,12:24:53,3,17,604,Y,1,1,28,1,2,2,N
29,2019-04-01,12:30:00,3,17,32,N,1,1,34,1,2.45,2.45,N
30,2019-04-01,12:30:00,3,17,32,N,1,5,77,1,3,3,N
31,2019-04-01,19:07:40,3,17,470,N,1,1,55,1,4,4,N
32,2019-04-01,16:44:46,3,12,127,Y,1,1,54,2,5,2.5,N
33,2019-04-01,19:54:12,3,17,553,Y,1,1,47,1,3,3,N
